n,sample size,LR_runtime,SDP_runtime,res_tol,init_step  
*********************   
10,200,0.0114576780796051,0.560309857130051,0.0001,0.001
*********************    
20,200,0.0178830873966217,0.507927725315094,0.0001,0.001
 *********************   
30,200,0.0441222143173218,0.579927446047465,0.0001,0.001
*********************   
40,200,0.0789433455467224,0.610124847888947,0.0001,0.001
*********************   
50,200,0.152584726810455,0.761558665037155,0.0001,0.001
********************* 
60,200,0,219314749240875,0.9676263753573100,0.0001,0.001
*********************   
70,200,0.30160823225975,1.2455850458145200,0.0001,0.001
*********************  
80,100,0.5772979402542120,1.5201329553127300,0.0001,0.001
*********************  
90,20,0.3100228786468506,1.2495955109596253,0.0001,0.001
*********************  
100,20,0.6166416883468628,2.044748818874359,0.0001,0.001
*********************  
150,10,2.158507823944092,3.7052464485168457,0.0001,0.001
*********************  
200,10,4.797264909744262,5.4226312160491945,0.0001,0.001
*********************  
250,10,17.51819884777069,14.446790504455567,0.0001,0.001
*********************  
300,10,32.424307680130006,26.24954524040222,0.0001,0.001
*********************  
*********************  
*********************  
50,1,1.06734037399292,1.2743494510650635,0.0001,0.001
20,1,0.04668283462524414,1.9607818126678467,0.0001,0.001
10,10,0.026147055625915527,0.8120950698852539,0.0001,0.001
